code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_hollande,voix_pct_hollande,voix_sarkozy,voix_pct_sarkozy,voix_melenchon,voix_pct_melenchon,voix_bayrou,voix_pct_bayrou,voix_lepen,voix_pct_lepen,voix_joly,voix_pct_joly,voix_dupont_aignan,voix_pct_dupont_aignan,voix_poutou,voix_pct_poutou,voix_arthaud,voix_pct_arthaud,voix_cheminade,voix_pct_cheminade
44009,Basse-Goulaine,244400404,presidentielle,2012,1,2012-04-22,6094,4925,1169,0,67,4858,0.8081787800991501,0.0,0.013630731102850062,1757,0.361671469740634,1231,0.25339645944833267,601,0.12371346233017702,529,0.10889254837381639,378,0.07780979827089338,224,0.04610951008645533,61,0.012556607657472211,46,0.009468917249897077,20,0.004116920543433511,11,0.0022643062988884316
44018,Bouaye,244400404,presidentielle,2012,1,2012-04-22,5248,4241,1007,0,58,4183,0.8081787800991501,0.0,0.013630731102850062,1513,0.3617021276595745,1060,0.2534066459478843,518,0.12383456849151327,457,0.10925173320583313,326,0.07793449677265121,193,0.0461391345923978,52,0.012431269423858474,38,0.009084389194358116,17,0.004064068850107579,9,0.002151565861821659
44020,Bouguenais,244400404,presidentielle,2012,1,2012-04-22,13048,10545,2503,0,144,10401,0.8081787800991501,0.0,0.013630731102850062,3762,0.36169599077011827,2635,0.2533410249014518,1288,0.1238342467070474,1136,0.10922026728199212,810,0.07787712719930776,477,0.04586097490625901,130,0.012498798192481493,98,0.009422170945101432,42,0.004038073262186328,23,0.0022113258340544176
44024,Brains,244400404,presidentielle,2012,1,2012-04-22,1749,1414,336,0,19,1394,0.8081787800991501,0.0,0.013630731102850062,504,0.3615494978479197,353,0.2532281205164993,173,0.12410329985652797,152,0.10903873744619799,109,0.0781922525107604,64,0.04591104734576758,17,0.012195121951219513,13,0.009325681492109038,6,0.00430416068866571,3,0.002152080344332855
44026,Carquefou,244400404,presidentielle,2012,1,2012-04-22,13013,10517,2496,0,143,10373,0.8081787800991501,0.0,0.013630731102850062,3751,0.3616118769883351,2628,0.25335004338185674,1284,0.12378289790803046,1133,0.10922587486744433,807,0.07779812975995373,478,0.04608117227417333,129,0.012436132266461005,98,0.0094476043574665,42,0.004048973296057071,23,0.0022172949002217295
44047,Couëron,244400404,presidentielle,2012,1,2012-04-22,14918,12056,2862,0,164,11892,0.8081787800991501,0.0,0.013630731102850064,4301,0.36167171207534476,3012,0.2532795156407669,1472,0.1237806929027918,1299,0.10923309788092836,926,0.07786747393205516,548,0.04608139926000673,148,0.012445341405987218,112,0.009418096199125462,48,0.004036326942482341,26,0.002186343760511268
44074,Indre,244400404,presidentielle,2012,1,2012-04-22,2644,2137,507,0,29,2108,0.8081787800991501,0.0,0.013630731102850062,762,0.36148007590132825,534,0.25332068311195444,261,0.12381404174573055,230,0.10910815939278938,164,0.0777988614800759,97,0.04601518026565465,26,0.012333965844402278,20,0.009487666034155597,9,0.004269449715370019,5,0.0023719165085388993
44035,La Chapelle-sur-Erdre,244400404,presidentielle,2012,1,2012-04-22,12980,10490,2490,0,143,10347,0.8081787800991501,0.0,0.01363073110285006,3742,0.36165072001546344,2621,0.2533101382043104,1281,0.12380400115975645,1130,0.10921039914951193,805,0.07780032859766116,477,0.04610031893302406,129,0.01246738184981154,97,0.009374697980090848,42,0.004059147579008408,23,0.0022228665313617476
44101,La Montagne,244400404,presidentielle,2012,1,2012-04-22,4134,3341,793,0,46,3295,0.8081787800991501,0.0,0.01363073110285006,1192,0.3617602427921093,835,0.2534142640364188,408,0.12382397572078907,360,0.10925644916540213,256,0.07769347496206373,152,0.046130500758725344,41,0.012443095599393019,31,0.009408194233687404,13,0.0039453717754172985,7,0.0021244309559939304
44120,Le Pellerin,244400404,presidentielle,2012,1,2012-04-22,3381,2732,649,0,37,2695,0.8081787800991501,0.0,0.013630731102850062,975,0.36178107606679033,683,0.2534322820037106,334,0.12393320964749537,294,0.10909090909090909,210,0.07792207792207792,124,0.04601113172541744,34,0.01261595547309833,24,0.008905380333951763,11,0.004081632653061225,6,0.0022263450834879408
44198,Les Sorinières,244400404,presidentielle,2012,1,2012-04-22,5806,4693,1114,0,64,4629,0.8081787800991501,0.0,0.013630731102850062,1674,0.36163318211276735,1173,0.25340246273493194,573,0.1237848347375243,505,0.1090948368978181,360,0.07777057679844458,213,0.04601425793907971,58,0.012529704039749406,44,0.009505292719809894,19,0.004104558219917909,10,0.002160293799956794
44094,Mauves-sur-Loire,244400404,presidentielle,2012,1,2012-04-22,2150,1738,412,0,24,1714,0.8081787800991501,0.0,0.013630731102850062,620,0.3617269544924154,434,0.2532088681446908,212,0.12368728121353559,187,0.10910151691948658,134,0.07817969661610269,79,0.046091015169194866,21,0.012252042007001166,16,0.009334889148191364,7,0.004084014002333722,4,0.002333722287047841
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,205997,166483,39515,0,2269,164213,0.8081787800991501,0.0,0.01363073110285006,59387,0.3616461546893364,41598,0.25331733784779525,20330,0.1238026222040886,17932,0.10919963705674947,12780,0.07782575070183238,7566,0.04607430593192987,2047,0.012465517346373307,1544,0.00940242246350776,664,0.004043528831456706,365,0.0022227229269302672
44114,Orvault,244400404,presidentielle,2012,1,2012-04-22,17960,14515,3445,0,198,14317,0.8081787800991501,0.0,0.013630731102850064,5178,0.36166794719564155,3627,0.2533351959209332,1772,0.12376894600824195,1563,0.10917091569462876,1114,0.07780959698260809,660,0.046099043095620594,178,0.012432772228818887,135,0.009429349724104212,58,0.004051128029615143,32,0.002235105119787665
44143,Rezé,244400404,presidentielle,2012,1,2012-04-22,27470,22201,5269,0,303,21898,0.8081787800991501,0.0,0.013630731102850062,7919,0.3616311991962736,5547,0.25331080463969313,2711,0.12380126038907663,2391,0.10918805370353457,1704,0.07781532560051146,1009,0.0460772673303498,273,0.012466891953603069,206,0.0094072518038177,89,0.004064298109416385,49,0.0022376472737236277
44150,Saint-Aignan-Grandlieu,244400404,presidentielle,2012,1,2012-04-22,2529,2044,485,0,28,2016,0.8081787800991501,0.0,0.013630731102850062,729,0.36160714285714285,511,0.2534722222222222,250,0.12400793650793651,220,0.10912698412698413,157,0.07787698412698413,93,0.046130952380952384,25,0.01240079365079365,19,0.009424603174603174,8,0.003968253968253968,4,0.001984126984126984
44162,Saint-Herblain,244400404,presidentielle,2012,1,2012-04-22,32040,25894,6146,0,353,25541,0.8081787800991501,0.0,0.013630731102850062,9237,0.3616538115187346,6470,0.25331819427587016,3162,0.1238009474961826,2789,0.109196977408872,1988,0.07783563681923182,1177,0.04608276888140637,318,0.01245056967229161,240,0.009396656356446497,103,0.004032731686308288,57,0.0022317058846560434
44166,Saint-Jean-de-Boiseau,244400404,presidentielle,2012,1,2012-04-22,3817,3085,732,0,42,3043,0.8081787800991501,0.0,0.013630731102850062,1100,0.36148537627341437,771,0.25336838646072957,377,0.1238908971409793,332,0.10910285902070326,237,0.07788366743345383,140,0.046007229707525465,38,0.01248767663489977,29,0.009530069010844562,12,0.003943476832073612,7,0.0023003614853762734
44171,Saint-Léger-les-Vignes,244400404,presidentielle,2012,1,2012-04-22,1340,1083,257,0,15,1068,0.8081787800991502,0.0,0.013630731102850062,386,0.36142322097378277,271,0.25374531835205993,132,0.12359550561797752,117,0.10955056179775281,83,0.07771535580524344,49,0.04588014981273408,13,0.012172284644194757,10,0.009363295880149813,4,0.003745318352059925,3,0.0028089887640449437
44190,Saint-Sébastien-sur-Loire,244400404,presidentielle,2012,1,2012-04-22,17980,14531,3449,0,198,14333,0.8081787800991501,0.0,0.013630731102850062,5183,0.3616130607688551,3631,0.25333147282494944,1774,0.12377032024000559,1565,0.10918858578106468,1116,0.07786227586688063,660,0.04604758250191865,179,0.012488662527035512,135,0.009418823693574269,58,0.004046605735017093,32,0.002232610060699086
44172,Sainte-Luce-sur-Loire,244400404,presidentielle,2012,1,2012-04-22,10283,8311,1972,0,113,8197,0.8081787800991501,0.0,0.013630731102850062,2964,0.36159570574600464,2077,0.2533853848969135,1015,0.12382578992314261,895,0.10918628766621935,638,0.07783335366597535,378,0.04611443210930828,102,0.012443576918384774,77,0.009393680614859094,33,0.004025863120653898,18,0.00219592533853849
44194,Sautron,244400404,presidentielle,2012,1,2012-04-22,5408,4371,1037,0,60,4311,0.8081787800991502,0.0,0.013630731102850062,1559,0.36163303177916956,1092,0.2533054975643702,534,0.12386917188587335,471,0.10925539318023661,336,0.0779401530967293,199,0.046160983530503366,54,0.012526096033402923,41,0.00951055439573185,15,0.003479471120389701,10,0.002319647413593134
44204,Thouaré-sur-Loire,244400404,presidentielle,2012,1,2012-04-22,6943,5611,1332,0,76,5534,0.8081787800991501,0.0,0.013630731102850062,2002,0.3617636429345862,1402,0.2533429707264185,685,0.12378026743765812,604,0.10914347668955547,431,0.07788218286953379,255,0.04607878568847127,69,0.012468377303939284,52,0.0093964582580412,22,0.003975424647632815,12,0.0021684134441633538
44215,Vertou,244400404,presidentielle,2012,1,2012-04-22,16507,13340,3166,0,182,13159,0.8081787800991501,0.0,0.013630731102850062,4759,0.36165362109582794,3334,0.25336271753172734,1629,0.12379360133748765,1437,0.10920282696253515,1024,0.07781746333308003,606,0.04605213162094384,164,0.012462953111938598,124,0.00942320845049016,53,0.004027661676419181,29,0.0022038148795501178
