code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_macron,voix_pct_macron,voix_melenchon,voix_pct_melenchon,voix_fillon,voix_pct_fillon,voix_hamon,voix_pct_hamon,voix_lepen,voix_pct_lepen,voix_dupont_aignan,voix_pct_dupont_aignan,voix_lassalle,voix_pct_lassalle,voix_poutou,voix_pct_poutou,voix_arthaud,voix_pct_arthaud,voix_cheminade,voix_pct_cheminade,voix_asselineau,voix_pct_asselineau
44009,Basse-Goulaine,244400404,presidentielle,2017,1,2017-04-23,6405,5184,1221,66,21,5097,0.8093387285699074,0.012775475297677785,0.003986579830274324,1527,0.29958799293702176,1262,0.24759662546596037,1003,0.1967824210319796,587,0.11516578379438885,353,0.06925642534824407,118,0.023150873062585835,84,0.0164802825191289,73,0.014322150284481068,24,0.004708652148322542,10,0.001961938395134393,56,0.0109868550127526
44018,Bouaye,244400404,presidentielle,2017,1,2017-04-23,5515,4464,1052,57,18,4389,0.8093387285699074,0.012775475297677785,0.003986579830274324,1315,0.29961266803372066,1087,0.24766461608566873,864,0.19685577580314423,505,0.11506037821827296,304,0.06926406926406926,102,0.02323991797676008,72,0.016404647983595352,64,0.014581909318751423,19,0.004329004329004329,9,0.002050580997949419,48,0.010936431989063569
44020,Bouguenais,244400404,presidentielle,2017,1,2017-04-23,13714,11099,2615,142,44,10913,0.8093387285699073,0.012775475297677785,0.003986579830274324,3269,0.29955099422706866,2702,0.24759461193072482,2147,0.1967378356089068,1256,0.11509209200036653,755,0.0691835425639146,253,0.023183359296252176,180,0.016494089617886922,159,0.014569779162466783,51,0.004673325391734628,21,0.001924310455420141,120,0.01099605974525795
44024,Brains,244400404,presidentielle,2017,1,2017-04-23,1838,1488,350,19,6,1463,0.8093387285699074,0.012775475297677783,0.003986579830274324,438,0.2993848257006152,362,0.24743677375256323,288,0.19685577580314423,169,0.11551606288448393,101,0.06903622693096377,34,0.02323991797676008,24,0.016404647983595352,21,0.014354066985645933,7,0.004784688995215311,3,0.002050580997949419,16,0.010936431989063569
44026,Carquefou,244400404,presidentielle,2017,1,2017-04-23,13677,11069,2608,141,44,10883,0.8093387285699074,0.012775475297677783,0.003986579830274324,3260,0.2995497565009648,2694,0.24754203804098135,2141,0.19672884314986677,1253,0.11513369475328494,753,0.0691904805660204,253,0.02324726637875586,179,0.016447670679040707,159,0.014609942111550124,51,0.0046862078471009835,21,0.0019296149958651107,119,0.01093448497656896
44047,Couëron,244400404,presidentielle,2017,1,2017-04-23,15679,12689,2989,162,51,12477,0.8093387285699074,0.012775475297677785,0.003986579830274324,3738,0.2995912478961289,3089,0.2475755389917448,2455,0.19676204215756993,1436,0.11509176885469263,864,0.06924741524404905,289,0.02316261921936363,205,0.016430231626192195,182,0.014586839785204777,58,0.0046485533381421815,24,0.0019235393123346958,137,0.010980203574577222
44074,Indre,244400404,presidentielle,2017,1,2017-04-23,2779,2249,530,29,9,2211,0.8093387285699075,0.012775475297677785,0.003986579830274324,664,0.30031659882406153,547,0.2473993668023519,435,0.19674355495251017,255,0.11533242876526459,153,0.06919945725915876,51,0.023066485753052916,36,0.016282225237449117,32,0.014473089099954772,10,0.004522840343735866,4,0.0018091361374943465,24,0.010854816824966078
44035,La Chapelle-sur-Erdre,244400404,presidentielle,2017,1,2017-04-23,13642,11041,2601,141,44,10856,0.8093387285699074,0.012775475297677785,0.003986579830274324,3252,0.2995578481945468,2688,0.24760501105379515,2136,0.1967575534266765,1249,0.11505158437730287,751,0.06917833456153279,252,0.023212969786293294,179,0.016488577745025792,158,0.014554163596168018,51,0.00469786293294031,21,0.0019344141488577746,119,0.010961680176860722
44101,La Montagne,244400404,presidentielle,2017,1,2017-04-23,4344,3516,828,45,14,3457,0.8093387285699074,0.012775475297677785,0.003986579830274324,1036,0.29968180503326586,856,0.24761353774949377,680,0.19670234307202777,398,0.11512872432745155,239,0.06913508822678623,80,0.023141452126120916,57,0.016488284639861153,50,0.014463407578825572,16,0.0046282904252241824,7,0.00202487706103558,38,0.010992189759907435
44120,Le Pellerin,244400404,presidentielle,2017,1,2017-04-23,3553,2876,677,37,11,2828,0.8093387285699073,0.012775475297677785,0.003986579830274324,847,0.2995049504950495,700,0.24752475247524752,556,0.1966053748231966,325,0.11492220650636492,196,0.06930693069306931,66,0.02333804809052334,47,0.01661951909476662,41,0.014497878359264497,13,0.004596888260254597,6,0.0021216407355021216,31,0.010961810466760962
