code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_lrem,voix_pct_lrem,voix_lr,voix_pct_lr,voix_lfi,voix_pct_lfi,voix_rn,voix_pct_rn,voix_ps,voix_pct_ps,voix_eelv,voix_pct_eelv,voix_modem,voix_pct_modem,voix_other,voix_pct_other
44009,Basse-Goulaine,244400404,legislative,2017,1,2017-06-11,6405,3971,2434,119,79,3773,0.62,0.03,0.02,1772,0.46965279618340844,604,0.16008481314603765,453,0.12006360985952823,264,0.06997084548104957,189,0.05009276437847866,151,0.04002120328650941,151,0.04002120328650941,189,0.05009276437847866
44018,Bouaye,244400404,legislative,2017,1,2017-06-11,5515,3419,2096,103,68,3249,0.62,0.03,0.020000000000000004,1527,0.46999076638965837,520,0.1600492459218221,390,0.12003693444136658,227,0.06986765158510311,163,0.050169282856263465,130,0.040012311480455524,130,0.040012311480455524,162,0.04986149584487535
44020,Bouguenais,244400404,legislative,2017,1,2017-06-11,13714,8502,5211,255,170,8077,0.62,0.03,0.02,3796,0.46997647641451035,1292,0.1599603813297016,969,0.11997028599727622,566,0.07007552309025629,404,0.050018571251702365,323,0.0399900953324254,323,0.0399900953324254,404,0.050018571251702365
44024,Brains,244400404,legislative,2017,1,2017-06-11,1838,1140,699,34,23,1083,0.62,0.03,0.02,509,0.46999076638965837,173,0.15974145891043398,130,0.12003693444136658,76,0.07017543859649122,54,0.04986149584487535,44,0.040627885503231764,43,0.03970452446906741,54,0.04986149584487535
44026,Carquefou,244400404,legislative,2017,1,2017-06-11,13677,8479,5197,254,170,8056,0.62,0.03,0.02,3786,0.4699602780536246,1289,0.1600049652432969,967,0.12003475670307845,564,0.07000993048659385,403,0.05002482621648461,322,0.03997020854021847,322,0.03997020854021847,403,0.05002482621648461
44047,Couëron,244400404,legislative,2017,1,2017-06-11,15679,9721,5958,292,194,9235,0.6199999999999999,0.03,0.02,4340,0.4699512723335138,1478,0.16004331348132106,1108,0.11997834325933947,647,0.07005955603681646,462,0.050027070925825666,369,0.03995668651867894,369,0.03995668651867894,462,0.050027070925825666
44074,Indre,244400404,legislative,2017,1,2017-06-11,2779,1723,1056,52,34,1637,0.62,0.03,0.02,769,0.46976175931582165,262,0.16004886988393402,196,0.11973121563836286,115,0.07025045815516189,82,0.0500916310323763,66,0.04031765424557117,65,0.03970678069639585,82,0.0500916310323763
44035,La Chapelle-sur-Erdre,244400404,legislative,2017,1,2017-06-11,13642,8458,5184,254,169,8035,0.62,0.03,0.02,3777,0.4700684505289359,1286,0.16004978220286248,964,0.11997510889856876,562,0.06994399502177971,402,0.050031113876789046,321,0.039950217797137526,321,0.039950217797137526,402,0.050031113876789046
44101,La Montagne,244400404,legislative,2017,1,2017-06-11,4344,2693,1651,81,54,2559,0.62,0.030000000000000002,0.02,1203,0.47010550996483,410,0.1602188354826104,307,0.11996873778819851,179,0.06994919890582259,128,0.05001953888237593,102,0.03985932004689332,102,0.03985932004689332,128,0.05001953888237593
44120,Le Pellerin,244400404,legislative,2017,1,2017-06-11,3553,2203,1350,66,44,2093,0.62,0.03,0.02,984,0.47013855709507885,335,0.16005733397037744,251,0.11992355470616341,145,0.0692785475394171,105,0.05016722408026756,84,0.04013377926421405,84,0.04013377926421405,105,0.05016722408026756
44198,Les Sorinières,244400404,legislative,2017,1,2017-06-11,6103,3784,2319,114,76,3594,0.62,0.03,0.02,1688,0.46967167501391205,575,0.15998887033945464,431,0.11992209237618252,252,0.07011686143572621,180,0.05008347245409015,144,0.04006677796327212,144,0.04006677796327212,180,0.05008347245409015
