code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_eelv,voix_pct_eelv,voix_ps,voix_pct_ps,voix_lrem,voix_pct_lrem,voix_lr,voix_pct_lr,voix_lfi,voix_pct_lfi,voix_rn,voix_pct_rn,voix_other,voix_pct_other
44009,Basse-Goulaine,244400404,municipale,2020,1,2020-03-15,6600,2838,3762,114,85,2639,0.42999999999999994,0.04,0.03,739,0.28003031451307314,739,0.28003031451307314,422,0.1599090564607806,343,0.129973474801061,238,0.09018567639257294,79,0.02993558165971959,79,0.02993558165971959
44018,Bouaye,244400404,municipale,2020,1,2020-03-15,5683,2444,3239,98,73,2272,0.43,0.04,0.029999999999999995,636,0.27992957746478875,636,0.27992957746478875,364,0.1602112676056338,295,0.12984154929577466,205,0.09022887323943662,68,0.02992957746478873,68,0.02992957746478873
44020,Bouguenais,244400404,municipale,2020,1,2020-03-15,14129,6075,8053,243,182,5650,0.43000000000000005,0.04,0.03,1580,0.27964601769911507,1582,0.28,904,0.16,735,0.13008849557522123,509,0.09008849557522124,170,0.03008849557522124,170,0.03008849557522124
44024,Brains,244400404,municipale,2020,1,2020-03-15,1894,815,1080,33,24,757,0.43,0.04,0.03,212,0.2800528401585205,212,0.2800528401585205,121,0.15984147952443858,98,0.12945838837516513,68,0.08982826948480846,23,0.03038309114927345,23,0.03038309114927345
44026,Carquefou,244400404,municipale,2020,1,2020-03-15,14091,6059,8032,242,182,5635,0.43,0.04,0.03,1578,0.2800354924578527,1578,0.2800354924578527,902,0.1600709849157054,733,0.13007985803016858,506,0.08979591836734693,169,0.029991126885536824,169,0.029991126885536824
44047,Couëron,244400404,municipale,2020,1,2020-03-15,16154,6946,9208,278,208,6460,0.43,0.04,0.03,1809,0.280030959752322,1809,0.280030959752322,1034,0.16006191950464396,840,0.13003095975232198,580,0.08978328173374613,194,0.030030959752321982,194,0.030030959752321982
44074,Indre,244400404,municipale,2020,1,2020-03-15,2863,1231,1632,49,37,1145,0.43,0.04,0.03,321,0.28034934497816594,321,0.28034934497816594,183,0.15982532751091702,149,0.13013100436681221,103,0.08995633187772925,34,0.029694323144104803,34,0.029694323144104803
44035,La Chapelle-sur-Erdre,244400404,municipale,2020,1,2020-03-15,14055,6044,8012,242,181,5621,0.43,0.04,0.030000000000000002,1574,0.2800213485144992,1574,0.2800213485144992,898,0.15975805016900907,731,0.1300480341576232,506,0.09001956947162426,169,0.030065824586372532,169,0.030065824586372532
44101,La Montagne,244400404,municipale,2020,1,2020-03-15,4476,1925,2551,77,58,1790,0.43,0.04,0.03,501,0.2798882681564246,501,0.2798882681564246,286,0.15977653631284916,233,0.13016759776536313,161,0.08994413407821229,54,0.030167597765363128,54,0.030167597765363128
44120,Le Pellerin,244400404,municipale,2020,1,2020-03-15,3661,1574,2087,63,47,1464,0.43,0.04,0.03,410,0.28005464480874315,410,0.28005464480874315,234,0.1598360655737705,190,0.12978142076502733,132,0.09016393442622951,44,0.030054644808743168,44,0.030054644808743168
