code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_roussel,voix_pct_roussel,voix_macron,voix_pct_macron,voix_poutou,voix_pct_poutou,voix_lassalle,voix_pct_lassalle,voix_jadot,voix_pct_jadot,voix_melenchon,voix_pct_melenchon,voix_hidalgo,voix_pct_hidalgo,voix_pecresse,voix_pct_pecresse,voix_dupont_aignan,voix_pct_dupont_aignan,voix_zemmour,voix_pct_zemmour,voix_lepen,voix_pct_lepen,voix_arthaud,voix_pct_arthaud
44009,Basse-Goulaine,244400404,presidentielle,2022,1,2022-04-10,6732,5083,1649,61,19,5003,0.7550139848425627,0.012075004874375576,0.0036776323308927838,133,0.026584049570257846,1486,0.2970217869278433,105,0.02098740755546672,101,0.020187887267639416,457,0.09134519288426944,1661,0.3320007995202878,102,0.02038776733959624,188,0.03757745352788327,34,0.006795922446532081,308,0.06156306216270238,408,0.08155106935838496,20,0.003997601439136518
44018,Bouaye,244400404,presidentielle,2022,1,2022-04-10,5797,4377,1420,53,16,4308,0.7550139848425627,0.012075004874375576,0.0036776323308927838,115,0.02669452181987001,1280,0.2971216341689879,90,0.020891364902506964,87,0.0201949860724234,393,0.09122562674094707,1430,0.3319405756731662,88,0.02042711234911792,162,0.037604456824512536,29,0.006731662024141133,266,0.061745589600742806,351,0.08147632311977716,17,0.003946146703806871
44020,Bouguenais,244400404,presidentielle,2022,1,2022-04-10,14413,10882,3531,131,40,10711,0.7550139848425627,0.012075004874375576,0.003677632330892784,287,0.0267948837643544,3182,0.29707777051629164,225,0.021006441975539164,216,0.0201661842965176,977,0.09121463915600785,3556,0.33199514517785456,218,0.020352908225189058,402,0.03753150966296331,72,0.006722061432172533,660,0.06161889646158155,873,0.08150499486509197,43,0.004014564466436374
44024,Brains,244400404,presidentielle,2022,1,2022-04-10,1932,1459,473,18,5,1436,0.7550139848425627,0.012075004874375574,0.003677632330892784,37,0.02576601671309192,427,0.29735376044568246,30,0.020891364902506964,29,0.0201949860724234,131,0.09122562674094707,477,0.3321727019498607,29,0.0201949860724234,54,0.037604456824512536,10,0.006963788300835654,89,0.06197771587743733,117,0.08147632311977716,6,0.004178272980501393
44026,Carquefou,244400404,presidentielle,2022,1,2022-04-10,14374,10853,3522,131,40,10682,0.7550139848425628,0.012075004874375576,0.003677632330892784,285,0.026680396929413968,3174,0.2971353679086313,224,0.020969855832241154,216,0.02022093240966111,975,0.09127504212694253,3544,0.33177307620295826,218,0.02040816326530612,401,0.037539786556824564,72,0.006740310803220371,659,0.06169256693503089,871,0.08153903763340198,43,0.004025463396367722
44047,Couëron,244400404,presidentielle,2022,1,2022-04-10,16479,12442,4037,150,46,12246,0.7550139848425627,0.012075004874375576,0.0036776323308927838,326,0.026620937448962927,3638,0.2970765964396538,257,0.020986444553323533,247,0.020169851380042462,1117,0.09121345745549567,4066,0.3320267842560836,251,0.020496488649354893,460,0.03756328597092928,82,0.0066960640209047856,755,0.06165278458272089,998,0.08149599869345092,49,0.004001306549077249
44074,Indre,244400404,presidentielle,2022,1,2022-04-10,2920,2205,715,27,8,2170,0.7550139848425627,0.012075004874375576,0.003677632330892784,58,0.026728110599078342,645,0.29723502304147464,45,0.020737327188940093,44,0.020276497695852536,198,0.0912442396313364,719,0.3313364055299539,44,0.020276497695852536,82,0.03778801843317972,15,0.0069124423963133645,134,0.06175115207373272,177,0.0815668202764977,9,0.004147465437788019
44035,La Chapelle-sur-Erdre,244400404,presidentielle,2022,1,2022-04-10,14338,10825,3513,131,40,10655,0.7550139848425627,0.012075004874375576,0.0036776323308927838,284,0.02665415297982168,3166,0.2971374941342093,223,0.020929141248240263,215,0.02017832003754106,972,0.09122477709995308,3539,0.3321445330830596,217,0.020366025340215862,400,0.03754106053496011,71,0.00666353824495542,657,0.061661191928671984,868,0.08146410136086345,43,0.004035664007508212
44101,La Montagne,244400404,presidentielle,2022,1,2022-04-10,4566,3447,1119,42,13,3393,0.7550139848425627,0.012075004874375576,0.0036776323308927838,90,0.026525198938992044,1008,0.29708222811671087,71,0.020925434718538166,69,0.020335985853227233,310,0.09136457412319482,1127,0.33215443560271146,69,0.020335985853227233,126,0.03713527851458886,23,0.006778661951075744,209,0.06159740642499263,277,0.0816386678455644,14,0.00412614205717654
44120,Le Pellerin,244400404,presidentielle,2022,1,2022-04-10,3734,2820,915,34,10,2775,0.7550139848425627,0.012075004874375576,0.0036776323308927838,74,0.02666666666666667,825,0.2972972972972973,58,0.020900900900900903,56,0.02018018018018018,253,0.09117117117117117,921,0.3318918918918919,57,0.02054054054054054,104,0.037477477477477476,19,0.006846846846846847,171,0.061621621621621624,226,0.08144144144144144,11,0.003963963963963964
