code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_fn,voix_pct_fn,voix_lr,voix_pct_lr,voix_ps,voix_pct_ps,voix_eelv,voix_pct_eelv,voix_modem,voix_pct_modem,voix_other,voix_pct_other,voix_lrem,voix_pct_lrem,voix_rn,voix_pct_rn,voix_lfi,voix_pct_lfi,voix_fg,voix_pct_fg,voix_dlf,voix_pct_dlf,voix_lo,voix_pct_lo,voix_npa,voix_pct_npa,voix_re,voix_pct_re,voix_nupes,voix_pct_nupes,voix_hollande,voix_pct_hollande,voix_sarkozy,voix_pct_sarkozy,voix_melenchon,voix_pct_melenchon,voix_bayrou,voix_pct_bayrou,voix_lepen,voix_pct_lepen,voix_joly,voix_pct_joly,voix_dupont_aignan,voix_pct_dupont_aignan,voix_poutou,voix_pct_poutou,voix_arthaud,voix_pct_arthaud,voix_cheminade,voix_pct_cheminade,voix_macron,voix_pct_macron,voix_fillon,voix_pct_fillon,voix_hamon,voix_pct_hamon,voix_lassalle,voix_pct_lassalle,voix_asselineau,voix_pct_asselineau,voix_roussel,voix_pct_roussel,voix_jadot,voix_pct_jadot,voix_hidalgo,voix_pct_hidalgo,voix_pecresse,voix_pct_pecresse,voix_zemmour,voix_pct_zemmour,estime_x,fn_pct,lr_pct,ps_pct,eelv_pct,modem_pct,other_pct,lrem_pct,rn_pct,lfi_pct,fg_pct,dlf_pct,lo_pct,npa_pct,re_pct,nupes_pct,hollande_pct,sarkozy_pct,melenchon_pct,bayrou_pct,lepen_pct,joly_pct,dupont_aignan_pct,poutou_pct,arthaud_pct,cheminade_pct,macron_pct,fillon_pct,hamon_pct,lassalle_pct,asselineau_pct,roussel_pct,jadot_pct,hidalgo_pct,pecresse_pct,zemmour_pct,parti_en_tete,famille_politique,population,revenu_median_uc_euros,taux_chomage_pct,delinquance_pour_1000_hab,entreprises_actives,associations_actives,taux_pauvrete_pct,estime_y,population_delta,winner_prev
44009,Basse-Goulaine,244400404,europeenne,2014,1,2014-05-25,6217,2798,3419,84,56,2658,0.45005629724947727,0.03002144388849178,0.020014295925661188,664.0,0.2498118886380737,532.0,0.200150489089541,372.0,0.1399548532731377,319.0,0.1200150489089541,266.0,0.1000752445447705,505.0,0.1899924755455229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.24981188863807374,0.200150489089541,0.1399548532731377,0.1200150489089541,0.1000752445447705,0.18999247554552295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FN,RN,8881,20873.15,9.67,26.3,887,92,15.48,False,,
44009,Basse-Goulaine,244400404,europeenne,2019,1,2019-05-26,6534,3267,3267,98,65,3104,0.5,0.02999693908784818,0.019895928986838077,,,310.0,0.0998711340206185,186.0,0.0599226804123711,436.0,0.1404639175257732,,,434.0,0.1398195876288659,1024.0,0.3298969072164948,497.0,0.1601159793814432,217.0,0.0699097938144329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0.09987113402061856,0.059922680412371136,0.1404639175257732,,0.13981958762886598,0.32989690721649484,0.16011597938144329,0.06990979381443299,,,,,,,,,,,,,,,,,,,,,,,,,,,LREM,RE,9334,21937.89,8.92,25.3,933,95,14.98,False,453.0,FN
44009,Basse-Goulaine,244400404,legislative,2012,1,2012-06-10,6094,3961,2133,119,79,3763,0.6499835904168034,0.030042918454935622,0.01994445847008331,,,1016.0,0.269997342545841,1204.0,0.3199574807334573,188.0,0.0499601381876162,263.0,0.0698910443794844,0.0,0.0,,,376.0,0.0999202763752325,,,527.0,0.1400478341748605,113.0,0.030029231995748,38.0,0.0100983258038798,38.0,0.0100983258038798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0.26999734254584107,0.31995748073345737,0.049960138187616264,0.06989104437948446,0.0,,0.09992027637523253,,0.1400478341748605,0.030029231995748074,0.010098325803879883,0.010098325803879883,,,,,,,,,,,,,,,,,,,,,,,PS,PS,8706,20461.87,9.97,26.7,870,91,15.68,False,,
44009,Basse-Goulaine,244400404,legislative,2017,1,2017-06-11,6405,3971,2434,119,79,3773,0.6199843871975019,0.029967262654243265,0.019894233190632084,,,604.0,0.1600848131460376,189.0,0.0500927643784786,151.0,0.0400212032865094,151.0,0.0400212032865094,189.0,0.0500927643784786,1772.0,0.4696527961834084,264.0,0.0699708454810495,453.0,0.1200636098595282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0.16008481314603765,0.05009276437847866,0.04002120328650941,0.04002120328650941,0.05009276437847866,0.46965279618340844,0.06997084548104957,0.12006360985952823,,,,,,,,,,,,,,,,,,,,,,,,,,,LREM,RE,9150,21505.63,9.22,25.7,914,94,15.18,False,444.0,PS
44009,Basse-Goulaine,244400404,legislative,2022,1,2022-06-12,6732,4039,2693,121,81,3837,0.5999702911467617,0.029957910373854913,0.020054468927952464,,,269.0,0.0701068543132655,,,,,,,307.0,0.0800104248110502,,,576.0,0.1501172791243158,,,,,,,,,,,1535.0,0.4000521240552515,1150.0,0.2997133176961167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0.07010685431326558,,,,0.08001042481105029,,0.15011727912431588,,,,,,0.4000521240552515,0.29971331769611675,,,,,,,,,,,,,,,,,,,,,RE,RE,9617,22602.63,8.47,24.7,961,96,14.68,False,467.0,LREM
44009,Basse-Goulaine,244400404,municipale,2014,1,2014-03-23,6217,3419,2798,103,68,3248,0.5499437027505227,0.03012576776835332,0.01988885639075753,,,650.0,0.2001231527093596,1104.0,0.3399014778325123,650.0,0.2001231527093596,,,357.0,0.1099137931034482,,,227.0,0.0698891625615763,260.0,0.0800492610837438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0.2001231527093596,0.3399014778325123,0.2001231527093596,,0.10991379310344827,,0.06988916256157636,0.08004926108374384,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,8881,20873.15,9.67,26.3,887,92,15.48,False,,
44009,Basse-Goulaine,244400404,municipale,2020,1,2020-03-15,6600,2838,3762,114,85,2639,0.43,0.040169133192389,0.029950669485553208,,,343.0,0.129973474801061,739.0,0.2800303145130731,739.0,0.2800303145130731,,,79.0,0.0299355816597195,422.0,0.1599090564607806,79.0,0.0299355816597195,238.0,0.0901856763925729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0.129973474801061,0.28003031451307314,0.28003031451307314,,0.02993558165971959,0.1599090564607806,0.02993558165971959,0.09018567639257294,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,9428,22157.27,8.77,25.1,942,95,14.88,False,547.0,PS
44009,Basse-Goulaine,244400404,presidentielle,2012,1,2012-04-22,6094,4925,1169,0,67,4858,0.8081719724319002,0.0,0.013604060913705585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.0,0.361671469740634,1231.0,0.2533964594483326,601.0,0.123713462330177,529.0,0.1088925483738163,378.0,0.0778097982708933,224.0,0.0461095100864553,61.0,0.0125566076574722,46.0,0.009468917249897,20.0,0.0041169205434335,11.0,0.0022643062988884,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0.361671469740634,0.25339645944833267,0.12371346233017702,0.10889254837381639,0.07780979827089338,0.04610951008645533,0.012556607657472211,0.009468917249897077,0.004116920543433511,0.0022643062988884316,,,,,,,,,,,HOLLANDE,PS,8706,20461.87,9.97,26.7,870,91,15.68,False,,
44009,Basse-Goulaine,244400404,presidentielle,2012,2,2012-05-06,6094,4997,1097,100,25,4872,0.8199868723334427,0.020012007204322592,0.005003001801080648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3021.0,0.6200738916256158,1851.0,0.3799261083743842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0.6200738916256158,0.37992610837438423,,,,,,,,,,,,,,,,,,,HOLLANDE,PS,8706,20461.87,9.97,26.7,870,91,15.68,False,0.0,HOLLANDE
44009,Basse-Goulaine,244400404,presidentielle,2017,1,2017-04-23,6405,5184,1221,66,21,5097,0.8093676814988291,0.01273148148148148,0.004050925925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262.0,0.2475966254659603,,,353.0,0.069256425348244,,,118.0,0.0231508730625858,73.0,0.014322150284481,24.0,0.0047086521483225,10.0,0.0019619383951343,1527.0,0.2995879929370217,1003.0,0.1967824210319796,587.0,0.1151657837943888,84.0,0.0164802825191289,56.0,0.0109868550127526,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,0.24759662546596037,,0.06925642534824407,,0.023150873062585835,0.014322150284481068,0.004708652148322542,0.001961938395134393,0.29958799293702176,0.1967824210319796,0.11516578379438885,0.0164802825191289,0.0109868550127526,,,,,,MACRON,RE,9150,21505.63,9.22,25.7,914,94,15.18,False,444.0,HOLLANDE
